CYP2D6 Diplotype	Gaedigk Activity Score (formula)	Coded Genotype/Phenotype Summary	EHR Priority Result Notation
*2x2/*2x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2x2/*35x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2x2/*45x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35x2/*35x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35x2/*45x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45x2/*45x2	4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*3	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*3xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*4	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*4xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*5	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*6	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*6xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*7	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*8	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*11	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*12	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*13	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*14A	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*15	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*18	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*19	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*20	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*21	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*31	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*36	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*36xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*38	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*40	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*42	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*44	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*47	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*51	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*56	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*57	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*60	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*62	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*68	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*69	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*92	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*96	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*99	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*100	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*101	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*3	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*3xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*4	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*4xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*5	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*6	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*6xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*7	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*8	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*11	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*12	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*13	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*14A	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*15	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*18	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*19	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*20	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*21	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*31	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*36	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*36xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*38	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*40	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*42	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*44	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*47	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*51	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*56	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*57	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*60	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*62	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*68	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*69	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*92	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*96	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*99	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*100	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*101	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*3/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*3/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*3xN/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*3xN/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*4/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*4/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*4xN/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*4xN/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*5/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*5/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*6/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*6/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*6xN/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*6xN/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*7/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*7/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*8/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*8/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*11/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*11/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*12/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*12/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*13/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*13/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*14A/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*14A/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*15/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*15/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*18/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*18/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*19/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*19/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*20/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*20/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*21/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*21/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*31/*35xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*31/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*36	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*36xN	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*38	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*40	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*42	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*44	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*47	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*51	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*56	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*57	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*60	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*62	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*68	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*69	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*92	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*96	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*99	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*100	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*101	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*36/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*36xN/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*38/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*40/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*42/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*44/*45xN>2	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*47	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*51	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*56	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*57	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*60	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*62	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*68	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*69	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*92	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*96	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*99	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*100	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*101	>2	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*9	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*10	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*10x2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*14B	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*17	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*29	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*41	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*49	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*50	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*54	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*55	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*59	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*72	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*84	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*9	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*10	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*10x2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*14B	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*17	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*29	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*41	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*49	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*50	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*54	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*55	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*59	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*72	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*84	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*9/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*9/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*10/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*10/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*10x2/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*10x2/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*14B/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*14B/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*17/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*17/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*29/*35xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*29/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*41	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*49	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*50	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*54	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*55	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*59	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*72	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*84	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*41/*45xN>2	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*49	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*50	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*54	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*55	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*59	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*72	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*84	>2.5	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1/*1xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1/*2xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*2 	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*9x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*17x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*27	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*29x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*33	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*34	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*35	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*39	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*41x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*45	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*46	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*48	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1xN>2/*53	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2 /*2xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2 /*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2 /*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*9x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*17x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*27	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*29x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*33	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*34	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*35	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*39	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*45	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*46	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*48	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*2xN>2/*53	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*9x2/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*9x2/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*17x2/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*17x2/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*27/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*27/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*29x2/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*29x2/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*33/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*33/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*34/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*34/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35/*35xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*39	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*41x2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*45	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*46	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*48	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*35xN>2/*53	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*39/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*41x2/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45/*45xN>2	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*46	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*48	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*45xN>2/*53	>3	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1x2/*1xN>2	>4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
*1x2/*2xN>2	>4	CYP2D6 Ultrarapid Metabolizer 	Abnormal/Priority/High Risk
